機種,品番,摘要,檢印,建立日期
CW-E32HA2,C3932-0167,內機,闕賓成,2010/4/14
CW-E32HA2,C3932-0168,外機,闕賓成,2010/4/14
CU-C22HA2,C3932-0169,COMP 102→092對應,闕賓成,2010/5/11
CU-C25HA2,C3932-0170,COMP 102→092對應,闕賓成,2010/5/11
CS-GX20A2,C3932-0171,氣流INV機種,闕賓成,2010/8/31
CS-GX25A2,C3932-0172,氣流INV機種,闕賓成,2010/8/31
CU-AM45HA2,C3932-0173,INV室外機一對二機種,蔣育宏,2010/8/31
CS-GX36A2,C3932-0174,氣流INV機種,闕賓成,2010/8/31
CS-GX45A2,C3932-0175,氣流INV機種,闕賓成,2010/8/31
CS-GX56A2,C3932-0176,氣流INV機種,闕賓成,2010/8/31
CS-GX63A2,C3932-0177,氣流INV機種,闕賓成,2010/8/31
CU-GX20HA2,C3932-0178,氣流室外機INV機種,蔣育宏,2010/10/8
CU-GX25HA2,C3932-0179,氣流室外機INV機種,蔣育宏,2010/10/8
CU-GX32HA2,C3932-0180,氣流室外機INV機種,蔣育宏,2010/10/8
CU-GX36HA2,C3932-0181,氣流室外機INV機種,蔣育宏,2010/10/8
CU-GX45HA2,C3932-0182,氣流室外機INV機種,蔣育宏,2010/10/8
CU-GX56HA2,C3932-0183,氣流室外機INV機種,蔣育宏,2010/10/8
CU-GX63HA2,C3932-0184,氣流室外機INV機種,蔣育宏,2010/10/8
CU-G71HA2,C3932-0185,71普級室外機INV機種,蔣育宏,2010/10/8
CU-GX20CA2,C3932-0186,氣流室外機INV機種,蔣育宏,2010/10/8
CU-GX25CA2,C3932-0187,氣流室外機INV機種,蔣育宏,2010/10/8
CU-GX32CA2,C3932-0188,氣流室外機INV機種,蔣育宏,2010/10/8
CU-GX36CA2,C3932-0189,氣流室外機INV機種,蔣育宏,2010/10/8
CU-GX45CA2,C3932-0190,氣流室外機INV機種,蔣育宏,2010/10/8
CU-GX56CA2,C3932-0191,氣流室外機INV機種,蔣育宏,2010/10/8
CU-GX63CA2,C3932-0192,氣流室外機INV機種,蔣育宏,2010/10/8
CU-G71CA2,C3932-0193,71普級室外機INV機種,蔣育宏,2010/10/8
CS-G32AX2,C3932-0194,氣流INV機種,闕賓成,2010/12/13
CU-GX20~56HA2,C3932-0195,氣流室外機INV機種,蔣育宏,2011/1/20
CS-GX20~56A2,C3932-0196,氣流室內機INV機種,闕賓成,2011/1/21
CS-G71HA2,C3932-0197,71普級室内機INV機種,蔣育宏,2011/2/9
CS-G71CA2,C3932-0198,71普級室内機INV機種,蔣育宏,2011/2/9
CW-G25/32HA2,C3932-0199,窗型變頻G系列機種,廖啟宏,2011/4/12
CS-GX20~56A2,C3932-0200,氣流室內機INV機種(追加e-ion斷線檢查),闕賓成,2011/4/27
CS-GX63A2,C3932-0201,氣流室內機INV機種,謝明峰,2011/9/14
CS-J20CA2,C3932-0202,J系列普及室内機INV機種,蔣育宏,2011/9/29
CS-J25CA2,C3932-0203,J系列普及室内機INV機種,蔣育宏,2011/9/29
CS-J32CA2,C3932-0204,J系列普及室内機INV機種,蔣育宏,2011/9/29
CS-J36CA2,C3932-0205,J系列普及室内機INV機種,蔣育宏,2011/9/29
CS-J45CA2,C3932-0206,J系列普及室内機INV機種,蔣育宏,2011/9/29
CS-J56CA2,C3932-0207,J系列普及室内機INV機種,蔣育宏,2011/9/29
CS-J63CA2,C3932-0208,J系列普及室内機INV機種,蔣育宏,2011/9/29
CS-J20HA2,C3932-0209,J系列普及室内機INV機種,蔣育宏,2011/9/29
CS-J25HA2,C3932-0210,J系列普及室内機INV機種,蔣育宏,2011/9/29
CS-J32HA2,C3932-0211,J系列普及室内機INV機種,蔣育宏,2011/9/29
CS-J36HA2,C3932-0212,J系列普及室内機INV機種,蔣育宏,2011/9/29
CS-J45HA2,C3932-0213,J系列普及室内機INV機種,蔣育宏,2011/9/29
CS-J56HA2,C3932-0214,J系列普及室内機INV機種,蔣育宏,2011/9/29
CS-J63HA2,C3932-0215,J系列普及室内機INV機種,蔣育宏,2011/9/29
CU-J20CA2,C3932-0216,J系列普及室外機INV機種,蔣育宏,2011/9/29
CU-J25CA2,C3932-0217,J系列普及室外機INV機種,蔣育宏,2011/9/29
CU-J32CA2,C3932-0218,J系列普及室外機INV機種,蔣育宏,2011/9/29
CU-J36CA2,C3932-0219,J系列普及室外機INV機種,蔣育宏,2011/9/29
CU-J45CA2,C3932-0220,J系列普及室外機INV機種,蔣育宏,2011/9/29
CU-J56CA2,C3932-0221,J系列普及室外機INV機種,蔣育宏,2011/9/29
CU-J63CA2,C3932-0222,J系列普及室外機INV機種,蔣育宏,2011/9/29
CU-J20HA2,C3932-0223,J系列普及室外機INV機種,蔣育宏,2011/9/29
CU-J25HA2,C3932-0224,J系列普及室外機INV機種,蔣育宏,2011/9/29
CU-J32HA2,C3932-0225,J系列普及室外機INV機種,蔣育宏,2011/9/29
CU-J36HA2,C3932-0226,J系列普及室外機INV機種,蔣育宏,2011/9/29
CU-J45HA2,C3932-0227,J系列普及室外機INV機種,蔣育宏,2011/9/29
CU-J56HA2,C3932-0228,J系列普及室外機INV機種,蔣育宏,2011/9/29
CU-J63HA2,C3932-0229,J系列普及室外機INV機種,蔣育宏,2011/9/29
CS-J20~63HA2,C3932-0230,J系列普及室内機INV機種,蔣育宏,2011/10/27
CS-GX20A2/02,C3932-0231,GX系列室内機INV機種(搭一對多),蔣育宏,2012/5/25
CS-GX25A2/02,C3932-0232,GX系列室内機INV機種(搭一對多),蔣育宏,2012/5/25
CS-GX32A2/02,C3932-0233,GX系列室内機INV機種(搭一對多),蔣育宏,2012/5/25
CS-GX36A2/02,C3932-0234,GX系列室内機INV機種(搭一對多),蔣育宏,2012/5/25
CS-GX45A2/02,C3932-0235,GX系列室内機INV機種(搭一對多),蔣育宏,2012/5/25
CS-GX56A2/02,C3932-0236,GX系列室内機INV機種(搭一對多),蔣育宏,2012/5/25
CS-GX63A2/02,C3932-0237,GX系列室内機INV機種(搭一對多),蔣育宏,2012/5/25
CU-2J52CA2,C3932-0238,2013年一對多室外機INV機種(新COMP),蔣育宏,2012/5/25
CU-2J63CA2,C3932-0239,2013年一對多室外機INV機種(新COMP),蔣育宏,2012/5/25
CU-2J83CA2,C3932-0240,2013年一對多室外機INV機種(新COMP),蔣育宏,2012/5/25
CU-3J90CA2,C3932-0241,2013年一對多室外機INV機種(新COMP),蔣育宏,2012/5/25
CU-4J100CA2,C3932-0242,2013年一對多室外機INV機種(新COMP),蔣育宏,2012/5/25
CU-2J52HA2,C3932-0243,2013年一對多室外機INV機種(新COMP),蔣育宏,2012/5/25
CU-2J63HA2,C3932-0244,2013年一對多室外機INV機種(新COMP),蔣育宏,2012/5/25
CU-2J83HA2,C3932-0245,2013年一對多室外機INV機種(新COMP),蔣育宏,2012/5/25
CU-3J90HA2,C3932-0246,2013年一對多室外機INV機種(新COMP),蔣育宏,2012/5/25
CU-4J100HA2,C3932-0247,2013年一對多室外機INV機種(新COMP),蔣育宏,2012/5/25
CS-J20DA2 ,C3932-0248,2012年J系列 DUCT 室内機 INV 機種,高士淵,2011/6/29
CS-J25DA2 ,C3932-0249,2012年J系列 DUCT 室内機 INV 機種,高士淵,2011/6/29
CS-J32DA2 ,C3932-0250,2012年J系列 DUCT 室内機 INV 機種,高士淵,2011/6/29
CS-J36DA2 ,C3932-0251,2012年J系列 DUCT 室内機 INV 機種,高士淵,2011/6/29
