機種,台松料號,材料代號,中文名稱,同行價,修理價,顧客自購價,維修工時
,40000-0180,40000-0180,IC板包裝紙盒,20,610,40,C.20
CW-,CO400X400X5T,40000-0230,防震海棉墊(黑AEPE上膠),90,680,150,C.20
CW-B32HA2/97,COC4836-870,40000-0240,室外電源板固定鐵,50,640,90,C.20
CU-A30HA2/96,CWG302281,40000-0250,消音棉 停供,30,620,50,C.20
CW,340X260X60,40000-0260,PCB再生包裝盒,120,710,200,C.20
CW,210X170X60,40000-0270,PCB再生包裝盒,90,680,150,C.20
CW,140X70X35,40000-0280,PCB再生包裝盒,50,640,90,C.20
CS-A22HA2,CWD661045,40000-0290,四合一濾網架 停供,90,1250,150,H.60
CZ-5EVB,COC5541-8770,40000-0300,泡棉,50,640,90,C.20
CZ-3EVB,COC5541-8780,40000-0310,泡棉,50,640,90,C.20
S-90S1T6,COE3A5-1089,40000-0320,EVA中泡棉,20,470,40,A.10
S-90S1T6,COEVA2A10-1074,40000-0330,EVA 下泡棉,20,470,40,A.10
S-90S1T6,COEVA2A15-1089,40000-0340,EVA 上泡棉,20,470,40,A.10
CS-PX,265*150*940,40000-0350,出風格(中),200,790,300,C.20
CS-PX,140*40*180,40000-0360,EPC009(白盒),30,620,50,C.20
CU-,880*670*315-1,40000-0370,散熱器(空白箱),450,900,600,A.10
F-Y,250*230*110,40000-0380,EVA空白箱,90,540,150,A.10
CS-PX,150*140*1260,40000-0390,百葉扇空白箱,350,940,450,C.20
CS-PX,260*150*1300,40000-0400,出風葉窗空白箱,400,990,500,C.20
CS-PX,140*40*180-1,40000-0410,EPC009白盒,50,640,90,C.20
CS-M25PC2/93,COC4631-390,40010-0020,配管固定蓋 停供,20,1180,40,H.60
U-8LYE1T9,COC4582-650R,40010-0060,左牙螺帽(扇葉),20,610,40,C.20
CW-63VSL2/94,COC4582-640,40010-0070,左牙螺帽 停供,20,610,40,C.20
CW-32VSL2/94,COC4101-800,40010-0090,對策壓縮機導線含保護器 停供,200,1070,300,F.40
CW-36VSL2/95,COC4101-810,40010-0100,對策壓縮機導線含保護器 停供,300,1170,400,F.40
CS-56TC2,CO14.3K,40010-0110,電阻(對策分壓電阻 ) 停供,20,890,40,F.40
CW-25TSL2,CO19.1K,40010-0120,電阻(對策分壓電阻) 停供,20,890,40,F.40
CW-25VSL2/94,EPC 001,40010-0140,EPC001白盒,30,620,50,C.20
CU-M63XC2/99,COC7032-050,40010-0150,包裝側板,90,680,150,C.20
R60KVALT,COC7000-940,40010-0160,側板(紙),90,680,150,C.20
CW-R36S2-00,COC4936-070R,40010-0170,安裝鐵片(一)型(短),50,640,90,C.20
CW-R36S2-00,COC4936-120R,40010-0171,安裝鐵片(L)型(短) 最終,50,640,90,C.20
CW-P68SL2-00,COC4936-090R+T1,40010-0180,安裝鐵片(一)型(長),50,640,90,C.20
CW-P68SL2-00,COC4936-100R+T1,40010-0181,安裝鐵片L型(長),90,680,150,C.20
M3-90EH-03,COC4604-160,40010-0182,排水彎頭墊片 停供,20,610,40,C.20
CW-16NV1,COC4945-240A,40010-0190,側板,350,940,450,C.20
CW-22NV1,COC4945-260,40010-0200,固定板,50,640,90,C.20
CW-16NV1,COC4945-560A,40010-0210,散熱器側板,50,640,90,C.20
CW-16NV1,COC4945-570A,40010-0220,EVA側板,50,640,90,C.20
CW-B32HA2/97,COC4146-460,40010-0230,三聯單,20,610,40,C.20
CW-18BC2,40010-0250,40010-0250,IC板紙箱,50,640,90,C.20
CW-25BC2,40501-09,40010-0260,散熱器紙箱,200,790,300,C.20
KDV-36201,40501-1100,40010-0280,散熱器11號紙箱,300,890,400,C.20
CS-56XC2,COC4945-840R,40010-0290,配管固定蓋,20,610,40,C.20
CW-20VSL2/94,COC4101-480,40010-0310,對策壓縮機導線含保護器,200,790,300,C.20
CW-25BC2,40010-0320,40010-0320,面框螺絲,30,620,50,C.20
CU-30XHAM2,CWH161001,40010-0330,把手 停供,30,620,50,C.20
CW-P50SL2-00,COC4146-430,40010-0340,貼紙(PANASONIC),20,610,40,C.20
CW-R36S2-00,COC4146-450,40010-0350,貼紙(PANASONIC),20,610,40,C.20
M2-56EC-02,COC4601-180+T1,40010-0500,防震橡皮(孔徑7.94),30,620,50,C.20
CS-M32PC2/93,COC4639-590,40010-0813,排水套 停供,20,610,40,C.20
CS-G75C2/01,COC4639-770R,40010-0814,排水套 停供,20,610,40,C.20
CS-56YC2,CWH52C1001,40010-0815,排水塞 停供,50,640,90,C.20
CW-,530-295-195,40010-1160,P板紙箱,200,790,300,C.20
CW-,40010-1170,40010-1170,CO1壓縮機紙箱,90,680,150,C.20
CW-,40560-1750,40010-1180,完成面板紙箱,200,790,300,C.20
CW,40010-1190,40010-1190,冷氣壓縮機紙箱(大),200,790,300,C.20
,CO70HD1,40010-1215,馬達紙箱,90,680,150,C.20
,CO40010-1317,40010-1317,包裝紙箱,90,680,150,C.20
CS-J56HA2/01,CO40010-1318,40010-1318,蒸發器紙箱CS-56,200,790,300,C.20
,CO2RS122T3AA02-1,40010-1322,壓縮機紙箱,120,710,200,C.20
KDC-36201,CO40010-1331,40010-1331,IC板包裝紙箱,90,680,150,C.20
,CO40010-1332,40010-1332,紙箱（５０Ｈ）,50,640,90,C.20
,CO40010-1361,40010-1361,Q扇葉紙箱,90,680,150,C.20
,CO40010-1400,40010-1400,IC板(大),30,620,50,C.20
,CO40010-1422,40010-1422,1070*265*148,120,710,200,C.20
CS-LX36YA2,CO40010-1602,40010-1602,CS-36蒸發器CASE,120,710,200,C.20
CW-,40010-1646,40010-1646,扇葉紙箱,90,680,150,C.20
CS-K22CA2/02,CO40010-1653,40010-1653,蒸發器紙箱,150,740,250,C.20
CW-,CO40611-0350,40010-1658,送風馬達(大),90,680,150,C.20
CW-,40010-1691,40010-1691,小馬達包裝紙箱,50,640,90,C.20
CW-,40010-1703,40010-1703,包裝IC紙箱,300,890,400,C.20
CW-,CO120*46*145,40010-1704,IC板小紙箱,20,610,40,C.20
CW-,CO145*145*115,40010-1719,IC板大紙箱,30,620,50,C.20
CW-,40010-1720,40010-1720,汽車冷凍油紙箱,30,620,50,C.20
CW-N50S2,165*165*115,40010-1738,冷氣馬達(小)紙箱,30,620,50,C.20
CW-32NSL2,40010-1743,40010-1743,風筒紙箱,90,680,150,C.20
CW-,CO40010-1744,40010-1744,送風馬達(小) 停供,90,680,150,C.20
CW-N22SL2,40010-1745,40010-1745,CW-面板CASE,120,710,200,C.20
CW-,40010-1747,40010-1747,壓縮機紙箱（中）850*265*148,120,710,200,C.20
KSA-502DV09R,COC5541-140,40010-1750,銅管泡棉(厚),50,500,90,A.10
CW-56JS2,COC4604-010,40010-1759,壓縮機墊片,20,610,40,C.20
CW-,CO40010-1765,40010-1765,送風馬達(中)CASE,90,680,150,C.20
CW-,CO40010-1772,40010-1772,面板紙箱,200,790,300,C.20
CS-PX110BA2,CO40010-1810,40010-1810,CS-面板(中),200,790,300,C.20
CU-63FC2,CO40010-1830,40010-1830,散熱器紙箱,250,840,350,C.20
CS-M32PC2/93,COC4945-570,40010-1840,配管固定蓋,20,610,40,C.20
CS-M25PC2/93,COC4627-090R,40010-1860,電源固定子,20,610,40,C.20
CS-J90A2,CO40010-1910,40010-1910,CS-面板(大),300,890,400,C.20
,CO40010-2009,40010-2009,外殼紙箱,350,940,450,C.20
CW-18PS2,CO40010-2010,40010-2010,外殼紙箱,200,790,300,C.20
CS,CO162X60X200,40010-2050,ＩＣ板紙箱,30,620,50,C.20
CW-,CO40010-2070,40010-2070,紙箱,50,640,90,C.20
CW-63NSL2,CO40010-2100,40010-2100,外殼&EVA紙箱,300,890,400,C.20
CW-,CO40010-2130,40010-2130,冷氣壓縮機紙箱(中),200,790,300,C.20
CU-25RC2,55*51*25,40010-2180,外殼&EVA紙箱(530*520*230),200,790,300,C.20
,40501-0970,40010-2270,散熱器紙箱,200,790,300,C.20
CW-,40010-2310,40010-2310,冷氣馬達(大),50,640,90,C.20
CW-25VSL2/94,COC5235-670,40010-2341,導風片連桿組,30,620,50,C.20
CS-B71HA2/97,CWD932162B,40010-2351,基板背蓋 停供,30,620,50,C.20
CS-32YCS2,CWD932590,40010-2361,基板背蓋 停供,30,620,50,C.20
CW-B32HA2/97,COC4836-880+T1,40010-2390,外殼固定擋板(停供),20,610,40,C.20
CS-CD36HA2/98,CWH31103,40010-2420,電線壓板 停供,20,610,40,C.20
CU-20PC2,CH49023-00322,40010-2440,配管固定蓋(1/4) 停供,20,610,40,C.20
,CH49023-00332,40010-2450,配管固定蓋(3/8) 停供,20,610,40,C.20
CU-32PC2/93,CH49023-00342,40010-2460,配管固定蓋(1/2) 停供,20,610,40,C.20
CU-A71HA2,CH49023-00352,40010-2470,配管固定蓋(5/8) 停供,20,610,40,C.20
CU-M50XH2/98,COC7032-060,40010-2530,側板 停供,90,680,150,C.20
CS-C38HA2/98,COC5541-130,40010-2540,銅管泡棉(薄),50,640,90,C.20
KSA-632DC01,COC4146-970,40010-2550,警告貼紙,20,610,40,C.20
CU-M40GC2/00,COC4627-120,40010-2610,電源線固定子,20,610,40,C.20
KDC-85209R,COC4627-140+C1,40010-2620,電源線固定子(ㄇ字型),20,610,40,C.20
CU-B45HA2/97,CWD771007,40010-2630,電源線固定子(ㄇ字型) 停供,20,610,40,C.20
CS-,162*60*200,40010-2640,冷氣機IC板紙箱(大),30,620,50,C.20
CS-,120*46*145,40010-2650,冷氣機IC板紙箱(小),30,620,50,C.20
CU-A25C2/99,415*415*145,40010-2660,Q扇(個裝)CASE,120,710,200,C.20
