機種,台松料號,材料代號,中文名稱,同行價,修理價,顧客自購價,維修工時
,CASE(L),05000-0010,補修部品紙箱（大）,200,400,300,
,151/2X11X81/2,05000-0040,傳票包裝紙箱,90,290,150,
,05010-0010,05010-0010,地址貼條(服務站貼條),20,220,40,
,05010-0020,05010-0020,地址貼條(空白),20,220,40,
,05010-1120,05010-1120,ＯＥＭ服務材料申購書,20,220,40,
,BK,05100-0110,油漆（黑）,1000,1200,1200,
,#2500,05100-0150,香蕉水,350,550,450,
,PU THINNER,05100-0210,PU THINNER HOLDER A.BT,500,700,650,
,#110,05100-0470,保有力香蕉水,300,500,400,
,TH-6091,05100-1020,淺綠色油漆,1400,1600,1700,
,TH-6103,05100-1030,深綠色油漆,1500,1700,1800,
,PU,05100-1050,有力擔香蕉水,500,700,650,
,TH-90445,05100-1070,S色油漆TH-90445,1500,1700,1800,
,T-6403,05100-1130,油漆,1400,1600,1700,
,TH-1022(W),05100-1230,白色油漆,1500,1700,1800,
REF,TH-4105,05100-1240,鐵灰色油漆,1500,1700,1800,
,TH-4109,05100-1260,紅咖啡色噴漆,1900,2100,2200,
NR-C56EHV-S,BR647,05100-1270,鐵灰色霧面漆,1900,2100,2200,
NR-B581T-GLS,FID-1614-00,05100-1280,新G色PU噴漆U33,1500,1700,1800,
NR-D562HV-B,TH-4119,05100-1290,PU灰色噴漆,1900,2100,2200,
,05140-0010,05140-0010,黑色噴漆,200,400,300,
,WD-40,05140-0020,清潔劑,300,500,400,
,05140-0030,05140-0030,白土,250,450,350,
,05140-0060,05140-0060,訂色噴漆(乳白),200,400,300,
,05140-0070,05140-0070,PCB板清潔劑,900,1100,1100,
,PS-70,05140-0080,PS-70保濕絕緣保護劑,900,1100,1100,
CW-,05140-0090,05140-0090,凡立水,1300,1500,1550,
CS-,05140-0100,05140-0100,透明噴漆,200,400,300,
NA-,05140-0110,05140-0110,殘膠清潔劑524G,500,700,650,
,05210-0050,05210-0050,去澤油,120,320,200,
,05210-0060,05210-0060,甲苯,90,290,150,
,05210-0270,05210-0270,工業酒精甲醇,90,290,150,
,05210-0280,05210-0280,環保去漬油,90,290,150,
,05260-0010,05260-0010,磨滑膏,1500,1700,1800,
,05260-0030,05260-0030,去污臘,250,450,350,
,05260-0040,05260-0040,擦亮劑(小),400,600,500,
NR-,05260-0050,05260-0050,西門子水臘,200,400,300,
,05270-0140,05270-0140,保麗龍膠,500,700,650,
CW-,270-0150,05270-0150,KE-42W美國黏膠,800,1000,1000,
,KE-45,05270-0160,KE-45黏膠,500,700,650,
,EG-150,05270-0170,散熱膏150G,600,800,750,
,05270-0180,05270-0180,螺絲固定劑70G,250,450,350,
,K-5905,05270-0190,RTV硅橡膠K-5905,200,400,300,
,K-5905 45G,05270-0200,RTV硅橡膠K-5905,200,400,300,
,63% 0.8,05300-0010,焊錫絲（０．８Ｍ／Ｍ）,1300,1500,1550,
,2% 1.6,05300-0090,銀口（２％）１．６,50,250,90,
,25% 0.4X3.8,05300-0100,焊條(25%銀),200,400,300,
,05300-0330,05300-0330,銀焊清潔劑,1400,1600,1700,
CW-,2% 2.4,05300-0340,銀口（粗）２％,90,290,150,
CW-,05300-0350,05300-0350,焊錫絲 (0.8MM*1KG),2200,2400,2500,
,#3000,05400-0240,#3000瞬間接著劑,500,700,650,
,05400-0270,05400-0270,透明接縫膠,200,400,300,
,12MM,05410-0010,12MM雙面膠帶,30,230,50,
,PVC 19MM,05410-0020,ＰＶＣ TAPE 膠帶,30,230,50,
,OPP 12MM,05410-0030,透明膠帶１２ＭＭ,30,230,50,
,OPP 25MM,05410-0040,透明膠帶２５ＭＭ,30,230,50,
,50X50M,05410-0050,膠帶（冰箱用）,600,800,750,
