機種,材料代號,台松料號,材料名稱
TU-SD01F,24000-0010,03TU-SD01F,數位機上盒
TU-SD01F,24000-0020,沒有資料,沒有資料
TU-SD01F,24000-0030,沒有資料,沒有資料
TU-SD01F,24000-0040,沒有資料,沒有資料
TU-SD02H,24000-0050,沒有資料,沒有資料
TU-SD02H,24000-0060,IVA312001-0010,夾帶
TU-LA01F,24000-0070,TU-LA01F-CM,TV TUNER(類比)
TC-20MPH,24000-0080,沒有資料,沒有資料
TC-20MTG,24000-0080,沒有資料,沒有資料
TC-27MPF,24000-0090,08TPE4CM010,PE帶
TC-27MPH,24000-0090,08TPE4CM010,PE帶
TC-27MPJ,24000-0090,08TPE4CM010,PE帶
TC-27MTG-A,24000-0090,08TPE4CM010,PE帶
TC-27MTH,24000-0090,08TPE4CM010,PE帶
TC-32AK,24000-0090,08TPE4CM010,PE帶
TC-32EK,24000-0090,08TPE4CM010,PE帶
TC-32MPH,24000-0090,08TPE4CM010,PE帶
TC-32MPH-A,24000-0090,08TPE4CM010,PE帶
TC-32MPK,24000-0090,08TPE4CM010,PE帶
TC-32MTG,24000-0090,08TPE4CM010,PE帶
TC-32MTH,24000-0090,08TPE4CM010,PE帶
TC-32TK,24000-0090,08TPE4CM010,PE帶
TC-32VFL,24000-0090,08TPE4CM010,PE帶
TC-32VGL,24000-0090,08TPE4CM010,PE帶
TC-32VPK,24000-0090,08TPE4CM010,PE帶
TC-32VPK-A,24000-0090,08TPE4CM010,PE帶
TC-32VPKA,24000-0090,08TPE4CM010,PE帶
TC-20MPF,24000-0100,沒有資料,沒有資料
SB-LD01G-A,24000-0110,沒有資料,沒有資料
SB-LD01G-A,24000-0120,沒有資料,沒有資料
SB-LD01G-A,24000-0130,沒有資料,沒有資料
SB-LD01G-A,24000-0140,沒有資料,沒有資料
TC-37AK,24000-0150,08TPE4CM049,PE袋
TC-37EK,24000-0150,08TPE4CM049,PE袋
TC-37MPJ,24000-0150,08TPE4CM049,PE袋
TC-37MPK,24000-0150,08TPE4CM049,PE袋
TC-37MTJ,24000-0150,08TPE4CM049,PE袋
TC-37TK,24000-0150,08TPE4CM049,PE袋
TC-37VPK,24000-0150,08TPE4CM049,PE袋
TU-LD05J,24000-0160,沒有資料,沒有資料
TU-LD05J,24000-0170,沒有資料,沒有資料
TC-27MPJ,24000-0180,08TC-27MPJ,LCD面板
TU-SD05J,24000-0190,沒有資料,沒有資料
TC-27MPF,24000-0200,08TQF4C1A061-03,條碼紙
TC-27MTG-A,24000-0200,08TQF4C1A061-03,條碼紙
TC-32EK,24000-0200,08TQF4C1A061-03,條碼紙
