Temperature (°C),Pressure (barg),Pressure (psig)
-70,-0.93,-13.53
-68,-0.92,-13.35
-66,-0.91,-13.15
-64,-0.87,-12.92
-62,-0.87,-12.67
-60,-0.85,-12.36
-58,-0.83,-12.07
-56,-0.81,-11.76
-54,-0.78,-11.32
-52,-0.75,-10.85
-50,-0.72,-10.42
-48,-0.68,-9.9
-46,-0.64,-9.32
-44,-0.6,-8.7
-42,-0.55,-8.01
-40,-0.5,-7.26
-38,-0.44,-6.45
-36,-0.38,-5.57
-34,-0.32,-4.61
-32,-0.25,-3.57
-30,-0.17,-2.45
-28,-0.09,-1.25
-26,0,0.05
-24,0.11,1.45
-22,0.2,2.95
-20,0.31,4.56
-18,0.43,6.28
-16,0.56,8.12
-14,0.7,10.08
-12,0.84,12.17
-10,0.99,14.4
-8,1.16,16.77
-6,1.33,19.26
-4,1.51,21.95
-2,1.71,24.78
0,1.92,27.77
2,2.13,30.93
4,2.36,34.27
6,2.61,37.8
8,2.86,41.51
10,3.13,45.43
12,3.42,49.55
14,4.57,51.57
16,4.87,54.12
18,5.18,56.73
20,5.5,59.38
22,5.83,62.08
24,6.18,64.83
26,6.53,67.63
28,6.9,70.48
30,7.28,73.37
32,7.67,76.32
34,8.07,79.32
36,8.48,82.37
38,8.9,85.48
40,9.34,88.63
42,9.78,91.84
44,10.23,95.1
46,10.69,98.41
48,11.16,101.77
50,11.64,105.18
52,12.13,108.65
54,12.63,112.17
56,13.14,115.74
58,13.66,119.37
60,14.19,123.05
62,14.73,126.79
64,15.28,130.58
66,15.84,134.43
68,16.41,138.33
70,16.99,142.29
