Temperature (°C),Pressure (barA),Pressure (barg),Pressure (psig)
-70,0.05,-0.97,-14.0
-68,0.05,-0.96,-13.89
-66,0.06,-0.95,-13.78
-64,0.07,-0.94,-13.65
-62,0.08,-0.93,-13.5
-60,0.09,-0.91,-13.32
-58,0.1,-0.89,-13.17
-56,0.1,-0.88,-13.05
-54,0.11,-0.87,-12.89
-52,0.12,-0.86,-12.74
-50,0.14,-0.83,-12.41
-48,0.17,-0.8,-12.05
-46,0.21,-0.76,-11.61
-44,0.23,-0.78,-11.31
-42,0.26,-0.75,-11.03
-40,0.29,-0.73,-10.75
-38,0.32,-0.7,-10.49
-36,0.35,-0.66,-10.14
-34,0.39,-0.63,-9.69
-32,0.42,-0.6,-9.25
-30,0.47,-0.55,-7.93
-28,0.51,-0.49,-6.64
-26,0.56,-0.45,-5.88
-24,0.6,-0.4,-5.08
-22,0.67,-0.35,-4.04
-20,0.72,-0.29,-3.26
-18,0.79,-0.23,-2.29
-16,0.86,-0.16,-1.2
-14,0.93,-0.09,-0.04
-12,1.0,-0.01,1.04
-10,1.08,0.07,2.07
-8,1.17,0.16,3.26
-6,1.26,0.25,4.49
-4,1.36,0.35,5.82
-2,1.46,0.45,7.24
0,1.57,0.56,8.07
2,1.68,0.67,9.73
4,1.8,0.79,11.48
6,1.93,0.92,13.23
8,2.07,1.05,15.26
10,2.21,1.19,17.3
12,2.35,1.34,19.45
14,2.51,1.5,21.7
16,2.67,1.66,24.06
18,2.84,1.83,26.54
20,3.02,2.01,29.13
22,3.21,2.2,31.85
24,3.41,2.39,34.69
26,3.61,2.61,37.66
28,3.82,2.83,40.76
30,4.05,3.07,44.0
32,4.28,3.32,47.37
34,4.52,3.57,50.87
36,4.78,3.84,54.55
38,5.04,4.12,58.37
40,5.31,4.41,62.34
42,5.59,4.71,66.46
44,5.88,5.02,70.75
46,6.18,5.34,75.2
48,6.48,5.67,79.83
50,6.79,6.01,84.62
52,7.11,6.36,89.59
54,7.44,6.72,94.75
56,7.78,7.09,100.07
58,8.13,7.47,105.62
60,8.49,7.86,111.47
62,8.85,8.25,117.26
64,9.22,8.65,123.13
66,9.6,9.06,129.71
68,9.98,9.48,136.26
70,10.41,9.91,143.0
